case_id,article_id,start,end,surface_text,is_range,value,range_low,range_high,unit,unit_norm,unit_category,linked_entity_start,linked_entity_end,linked_entity_surface,linked_entity_type,link_method,linked_entity_cui,linked_entity_id
PMC10521634_01,PMC10521634,3132,3137,2.5mg,False,2.5,,,mg,mg,mass,3113,3125,azathioprine,Treatment,same_sentence,C0004482,concept:C0004482
PMC10521634_01,PMC10521634,3203,3211,24 weeks,False,24,,,weeks,weeks,time,3192,3201,remission,Finding,window_fallback,C0544452,concept:C0544452
PMC11131390_01,PMC11131390,25,33,64 years,False,64,,,years,years,time,2,9,retired,Finding,same_sentence,C0035345,concept:C0035345
PMC11131390_01,PMC11131390,337,350,2.0-4.4 pg/mL,True,,2.0,4.4,pg/mL,pg/ml,lab_concentration,198,213,hyperthyroidism,Diagnosis,same_sentence,C0020550,concept:C0020550
PMC11131390_01,PMC11131390,485,494,16.3 IU/L,False,16.3,,,IU/L,iu/l,lab_concentration,389,408,thyroid eye disease,Diagnosis,window_fallback,C0339143,concept:C0339143
PMC11131390_01,PMC11131390,504,513,1.75 IU/L,False,1.75,,,IU/L,iu/l,lab_concentration,520,530,antibodies,Treatment,same_sentence_forward,C0003241,concept:C0003241
PMC11131390_01,PMC11131390,546,551,34 IU,False,34,,,IU,iu,dose_unit,520,530,antibodies,Treatment,same_sentence,C0003241,concept:C0003241
PMC11131390_01,PMC11131390,607,613,115 IU,False,115,,,IU,iu,dose_unit,580,590,antibodies,Treatment,same_sentence,C0003241,concept:C0003241
PMC11131390_01,PMC11131390,779,784,20 mg,False,20,,,mg,mg,mass,761,772,carbimazole,Treatment,same_sentence,C0006983,concept:C0006983
PMC11131390_01,PMC11131390,990,994,5 mg,False,5,,,mg,mg,mass,967,976,euthyroid,Finding,same_sentence,C0117002,concept:C0117002
PMC11131390_01,PMC11131390,1015,1024,15 months,False,15,,,months,months,time,967,976,euthyroid,Finding,same_sentence,C0117002,concept:C0117002
PMC11131390_01,PMC11131390,1153,1159,2.5 mg,False,2.5,,,mg,mg,mass,1073,1085,discontinued,Finding,same_sentence,C1444662,concept:C1444662
PMC11131390_01,PMC11131390,1168,1176,2 months,False,2,,,months,months,time,1073,1085,discontinued,Finding,same_sentence,C1444662,concept:C1444662
PMC11131390_01,PMC11131390,1239,1246,2 years,False,2,,,years,years,time,,,,,none,,
PMC11131390_01,PMC11131390,1550,1558,3.3 IU/L,False,3.3,,,IU/L,iu/l,lab_concentration,1478,1487,euthyroid,Finding,same_sentence,C0117002,concept:C0117002
PMC11131390_01,PMC11131390,1578,1586,4 months,False,4,,,months,months,time,1478,1487,euthyroid,Finding,window_fallback,C0117002,concept:C0117002
PMC11131390_01,PMC11131390,1634,1638,4 kg,False,4,,,kg,kg,mass,1639,1650,weight gain,Finding,same_sentence_forward,C0043094,concept:C0043094
PMC11131390_01,PMC11131390,1652,1660,67-71 kg,True,,67,71,kg,kg,mass,1639,1650,weight gain,Finding,same_sentence,C0043094,concept:C0043094
